Sl. No,UNITS,Population in Lakhs,Crime rate for 2019,Category,Crime_Type,Crimes,Year,% Variation in 2019 over 2018
1691,Mahabubabad,7.84,5.612244898,Crime Against Children,Kidnapping_Abduction,44,2018,-0.18
1692,Mahabubnagar,9.29,6.566200215,Crime Against Children,Kidnapping_Abduction,61,2018,0.02
1693,Medak,7.88,2.918781726,Crime Against Children,Kidnapping_Abduction,23,2018,-0.74
1694,Mulugu,2.93,0,Crime Against Children,Kidnapping_Abduction,0,2018,0
1695,Nagarkurnool,8.71,2.870264064,Crime Against Children,Kidnapping_Abduction,25,2018,-0.08
1696,Nalgonda,16.52,0.363196126,Crime Against Children,Kidnapping_Abduction,6,2018,-0.17
1697,Narayanpet,5.76,0,Crime Against Children,Kidnapping_Abduction,0,2018,0
1698,Nirmal,7.19,0.417246175,Crime Against Children,Kidnapping_Abduction,3,2018,0
1699,Rajanna Sircilla,5.62,2.135231317,Crime Against Children,Kidnapping_Abduction,12,2018,-0.75
1700,Sanga Reddy,15.37,0.650618087,Crime Against Children,Kidnapping_Abduction,10,2018,-0.4
1701,Suryapet,11.09,0.541027953,Crime Against Children,Kidnapping_Abduction,6,2018,0.67
1702,Vikarabad,9.37,2.027748132,Crime Against Children,Kidnapping_Abduction,19,2018,0.11
1703,Wanaparthy,5.87,1.192504259,Crime Against Children,Kidnapping_Abduction,7,2018,-0.14
1704,RP Secunderabad,,#DIV/0!,Crime Against Children,Kidnapping_Abduction,2,2018,0
1705,CID,,#DIV/0!,Crime Against Children,Kidnapping_Abduction,0,2018,0
1706,Cyberabad,62.1,6.280193237,Crime Against Children,Kidnapping_Abduction,390,2019,0.48
1707,Hyderabad,39.53,4.502909183,Crime Against Children,Kidnapping_Abduction,178,2019,-0.07
1708,Karimnagar,10.15,1.083743842,Crime Against Children,Kidnapping_Abduction,11,2019,-0.21
1709,Khammam,14.11,5.386250886,Crime Against Children,Kidnapping_Abduction,76,2019,0
1710,Nizamabad,15.87,0.81915564,Crime Against Children,Kidnapping_Abduction,13,2019,0.44
1711,Rachakonda,43.71,0.16014642,Crime Against Children,Kidnapping_Abduction,7,2019,-0.82
1712,Ramagundam,16.12,1.923076923,Crime Against Children,Kidnapping_Abduction,31,2019,1.38
1713,Siddipet,10.22,0.587084149,Crime Against Children,Kidnapping_Abduction,6,2019,-0.5
1714,Warangal,23.75,6.147368421,Crime Against Children,Kidnapping_Abduction,146,2019,0.35
1715,Adilabad,7.53,2.124833997,Crime Against Children,Kidnapping_Abduction,16,2019,1
1716,Bhadradri Kothagudem,11.12,4.226618705,Crime Against Children,Kidnapping_Abduction,47,2019,1.76
1717,jagtial,9.95,0.40201005,Crime Against Children,Kidnapping_Abduction,4,2019,0
1718,Jayashankar Bhupalpally,4.26,0.234741784,Crime Against Children,Kidnapping_Abduction,1,2019,-0.94
1719,Jogulamba Gadwal,6.19,0.969305331,Crime Against Children,Kidnapping_Abduction,6,2019,0
1720,Kamareddy,10.04,0.199203187,Crime Against Children,Kidnapping_Abduction,2,2019,-0.8
1721,Kumaram Bheem Asifabad,5.25,0.19047619,Crime Against Children,Kidnapping_Abduction,1,2019,-0.5
1722,Mahabubabad,7.84,4.591836735,Crime Against Children,Kidnapping_Abduction,36,2019,-0.18
1723,Mahabubnagar,9.29,6.673842842,Crime Against Children,Kidnapping_Abduction,62,2019,0.02
1724,Medak,7.88,0.76142132,Crime Against Children,Kidnapping_Abduction,6,2019,-0.74
1725,Mulugu,2.93,1.023890785,Crime Against Children,Kidnapping_Abduction,3,2019,0
1726,Nagarkurnool,8.71,2.640642939,Crime Against Children,Kidnapping_Abduction,23,2019,-0.08
1727,Nalgonda,16.52,0.302663438,Crime Against Children,Kidnapping_Abduction,5,2019,-0.17
1728,Narayanpet,5.76,4.861111111,Crime Against Children,Kidnapping_Abduction,28,2019,0
1729,Nirmal,7.19,0.417246175,Crime Against Children,Kidnapping_Abduction,3,2019,0
1730,Rajanna Sircilla,5.62,0.533807829,Crime Against Children,Kidnapping_Abduction,3,2019,-0.75
1731,Sanga Reddy,15.37,0.390370852,Crime Against Children,Kidnapping_Abduction,6,2019,-0.4
1732,Suryapet,11.09,0.901713255,Crime Against Children,Kidnapping_Abduction,10,2019,0.67
1733,Vikarabad,9.37,2.241195304,Crime Against Children,Kidnapping_Abduction,21,2019,0.11
1734,Wanaparthy,5.87,1.022146508,Crime Against Children,Kidnapping_Abduction,6,2019,-0.14
1735,RP Secunderabad,,#DIV/0!,Crime Against Children,Kidnapping_Abduction,2,2019,0
1736,CID,,#DIV/0!,Crime Against Children,Kidnapping_Abduction,0,2019,0
1737,Cyberabad,62.1,0.064412238,Crime Against Children,Murder,4,2018,1.25
1738,Hyderabad,39.53,0.126486213,Crime Against Children,Murder,5,2018,-1
1739,Karimnagar,10.15,0.295566502,Crime Against Children,Murder,3,2018,-1
1740,Khammam,14.11,0.212615167,Crime Against Children,Murder,3,2018,-1
1741,Nizamabad,15.87,0.126023945,Crime Against Children,Murder,2,2018,0
1742,Rachakonda,43.71,0.02287806,Crime Against Children,Murder,1,2018,2
1743,Ramagundam,16.12,0.124069479,Crime Against Children,Murder,2,2018,1
1744,Siddipet,10.22,0.195694716,Crime Against Children,Murder,2,2018,0
1745,Warangal,23.75,0.084210526,Crime Against Children,Murder,2,2018,0
1746,Adilabad,7.53,0,Crime Against Children,Murder,0,2018,0
1747,Bhadradri Kothagudem,11.12,0,Crime Against Children,Murder,0,2018,0
1748,jagtial,9.95,0,Crime Against Children,Murder,0,2018,0
1749,Jayashankar Bhupalpally,4.26,0,Crime Against Children,Murder,0,2018,0
1750,Jogulamba Gadwal,6.19,0.323101777,Crime Against Children,Murder,2,2018,-1
1751,Kamareddy,10.04,0,Crime Against Children,Murder,0,2018,0
1752,Kumaram Bheem Asifabad,5.25,0.19047619,Crime Against Children,Murder,1,2018,-1
1753,Mahabubabad,7.84,0.255102041,Crime Against Children,Murder,2,2018,-1
1754,Mahabubnagar,9.29,0,Crime Against Children,Murder,0,2018,0
1755,Medak,7.88,0,Crime Against Children,Murder,0,2018,0
1756,Mulugu,2.93,0,Crime Against Children,Murder,0,2018,0
1757,Nagarkurnool,8.71,0.229621125,Crime Against Children,Murder,2,2018,-1
1758,Nalgonda,16.52,0.060532688,Crime Against Children,Murder,1,2018,2
1759,Narayanpet,5.76,0,Crime Against Children,Murder,0,2018,0
1760,Nirmal,7.19,0.278164117,Crime Against Children,Murder,2,2018,-1
1761,Rajanna Sircilla,5.62,0,Crime Against Children,Murder,0,2018,0
1762,Sanga Reddy,15.37,0.065061809,Crime Against Children,Murder,1,2018,-1
1763,Suryapet,11.09,0.090171326,Crime Against Children,Murder,1,2018,-1
1764,Vikarabad,9.37,0,Crime Against Children,Murder,0,2018,0
1765,Wanaparthy,5.87,0.340715503,Crime Against Children,Murder,2,2018,-0.5
1766,RP Secunderabad,,#DIV/0!,Crime Against Children,Murder,0,2018,0
1767,CID,,#DIV/0!,Crime Against Children,Murder,0,2018,0
1768,Cyberabad,62.1,0.144927536,Crime Against Children,Murder,9,2019,1.25
1769,Hyderabad,39.53,0,Crime Against Children,Murder,0,2019,-1
1770,Karimnagar,10.15,0,Crime Against Children,Murder,0,2019,-1
1771,Khammam,14.11,0,Crime Against Children,Murder,0,2019,-1
1772,Nizamabad,15.87,0.126023945,Crime Against Children,Murder,2,2019,0
1773,Rachakonda,43.71,0.06863418,Crime Against Children,Murder,3,2019,2
1774,Ramagundam,16.12,0.248138958,Crime Against Children,Murder,4,2019,1
1775,Siddipet,10.22,0.195694716,Crime Against Children,Murder,2,2019,0
1776,Warangal,23.75,0.084210526,Crime Against Children,Murder,2,2019,0
1777,Adilabad,7.53,0,Crime Against Children,Murder,0,2019,0
1778,Bhadradri Kothagudem,11.12,0.089928058,Crime Against Children,Murder,1,2019,0
1779,jagtial,9.95,0,Crime Against Children,Murder,0,2019,0
1780,Jayashankar Bhupalpally,4.26,0,Crime Against Children,Murder,0,2019,0
1781,Jogulamba Gadwal,6.19,0,Crime Against Children,Murder,0,2019,-1
1782,Kamareddy,10.04,0,Crime Against Children,Murder,0,2019,0
1783,Kumaram Bheem Asifabad,5.25,0,Crime Against Children,Murder,0,2019,-1
1784,Mahabubabad,7.84,0,Crime Against Children,Murder,0,2019,-1
1785,Mahabubnagar,9.29,0.107642626,Crime Against Children,Murder,1,2019,0
1786,Medak,7.88,0,Crime Against Children,Murder,0,2019,0
1787,Mulugu,2.93,0,Crime Against Children,Murder,0,2019,0
1788,Nagarkurnool,8.71,0,Crime Against Children,Murder,0,2019,-1
1789,Nalgonda,16.52,0.181598063,Crime Against Children,Murder,3,2019,2
1790,Narayanpet,5.76,0,Crime Against Children,Murder,0,2019,0
1791,Nirmal,7.19,0,Crime Against Children,Murder,0,2019,-1
1792,Rajanna Sircilla,5.62,0,Crime Against Children,Murder,0,2019,0
1793,Sanga Reddy,15.37,0,Crime Against Children,Murder,0,2019,-1
1794,Suryapet,11.09,0,Crime Against Children,Murder,0,2019,-1
1795,Vikarabad,9.37,0.213447172,Crime Against Children,Murder,2,2019,0
1796,Wanaparthy,5.87,0.170357751,Crime Against Children,Murder,1,2019,-0.5
1797,RP Secunderabad,,#DIV/0!,Crime Against Children,Murder,0,2019,0
1798,CID,,#DIV/0!,Crime Against Children,Murder,0,2019,0
1799,Cyberabad,62.1,2.753623188,Crime Against Children,Rape,171,2018,0.09
1800,Hyderabad,39.53,4.351125727,Crime Against Children,Rape,172,2018,-0.31
1801,Karimnagar,10.15,1.97044335,Crime Against Children,Rape,20,2018,-0.55
1802,Khammam,14.11,3.472714387,Crime Against Children,Rape,49,2018,0.04
1803,Nizamabad,15.87,1.323251418,Crime Against Children,Rape,21,2018,0.62
1804,Rachakonda,43.71,3.294440631,Crime Against Children,Rape,144,2018,-0.02
1805,Ramagundam,16.12,2.481389578,Crime Against Children,Rape,40,2018,0
1806,Siddipet,10.22,2.641878669,Crime Against Children,Rape,27,2018,0.33
1807,Warangal,23.75,1.389473684,Crime Against Children,Rape,33,2018,0.24
1808,Adilabad,7.53,2.257636122,Crime Against Children,Rape,17,2018,0.18
1809,Bhadradri Kothagudem,11.12,3.237410072,Crime Against Children,Rape,36,2018,0.17
1810,jagtial,9.95,1.005025126,Crime Against Children,Rape,10,2018,1.2
1811,Jayashankar Bhupalpally,4.26,4.694835681,Crime Against Children,Rape,20,2018,-0.75
1812,Jogulamba Gadwal,6.19,2.746365105,Crime Against Children,Rape,17,2018,0.41
